x1,x2,x3,x4,x5,target,model_name,level,iteration
-7.532724,5.56539,1.6268036,1.3493305,3.2623997,-14.122107,Global,Global,65
-1.3871235,-0.23915786,-3.3602448,-0.95701015,0.21132353,-7.47106,Global,Global,66
-4.592893,2.522221,12.174823,-0.6741939,-2.2764113,-16.049576,Global,Global,67
-0.3766797,-0.1245743,-1.0,1.0,0.7010881,-4.025054,Good,Local,68
-1.0,-0.07945105,-1.0,-0.9099961,0.71389747,-3.7233038,Good,Local,69
-8.128811,-6.0206604,3.047752,0.8258355,-5.3623943,-14.173663,Global,Global,70
1.2691293,-7.4091187,-3.2504556,6.8468432,-1.8976921,-14.049717,Global,Global,71
11.411918,-3.5815516,-1.4261079,3.6400669,-0.40970966,-15.79163,Global,Global,72
-3.0247347,-12.545072,0.49206707,7.0077286,-9.297052,-17.546486,Global,Global,73
1.2165651,5.7667265,-5.2933655,-0.93396354,3.7063498,-12.463815,Global,Global,74
-1.0,0.1297716,-1.0,-0.8476072,-0.29034927,-3.6814833,Good,Local,75
-1.0,0.27081937,-0.38456795,0.16709514,0.052836545,-3.2556086,Good,Local,76
-0.2913039,-7.9819264,5.1768265,7.305002,2.7312076,-14.909091,Global,Global,77
5.888743,-7.778401,3.6215258,-0.7464632,-8.156052,-15.4372,Global,Global,78
-10.101061,-7.98203,6.4625177,-3.9605787,-11.388682,-17.762764,Global,Global,79
-6.0507355,6.874927,-9.056342,4.2138934,6.3768353,-15.956036,Global,Global,80
0.6737485,-15.104422,0.017893886,13.067441,1.5968212,-18.062069,Global,Global,81
-1.0,0.0504046,-0.45536152,1.0,-0.502432,-4.1184053,Good,Local,82
-1.0,0.6673181,-0.5421176,-1.0,0.0067732744,-4.1102324,Good,Local,83
5.5585446,12.164582,12.313421,1.2375762,1.6336155,-18.068565,Global,Global,84
0.28813016,7.3482313,2.7250555,-11.285881,-8.653934,-17.336388,Global,Global,85
-10.314379,-9.72017,9.742739,8.408864,-2.8865795,-18.310736,Global,Global,86
2.2283452,-8.916967,10.9354105,11.081283,7.9870896,-17.169981,Global,Global,87
8.636494,7.872115,-12.428389,0.16385946,7.023221,-17.74041,Global,Global,88
1.0,-0.05392909,0.06562171,-1.0,-0.025487874,-2.4628992,Good,Local,89
-1.0,-0.082766496,-0.33615938,-1.0,0.09518727,-3.276721,Good,Local,90
-5.41015,-2.3334353,-0.7761402,-2.6925218,-2.083917,-11.005045,Global,Global,91
7.1193776,-9.395745,8.412686,-15.764326,3.736449,-19.020988,Global,Global,92
8.840491,-8.075512,-2.000026,1.2548826,6.982244,-15.06121,Global,Global,93
4.9887147,-2.886553,3.3747032,12.816394,-4.5125403,-16.45959,Global,Global,94
-2.1242623,-15.337274,2.542683,5.657951,10.27003,-18.501144,Global,Global,95
-1.0,0.18287688,0.2222622,-0.32708368,0.2543525,-3.3812685,Good,Local,96
0.981824,0.004779163,0.023394283,-1.0,0.13757278,-2.560338,Good,Local,97
2.2414129,6.2893124,1.6787732,-7.5639596,9.703453,-16.357697,Global,Global,98
1.3869147,4.394745,-5.9166245,0.84292865,-6.1488833,-13.24793,Global,Global,99
-0.40813723,-1.0360817,12.619765,-19.64322,-1.216878,-19.435833,Global,Global,100
