Who,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
BB,0,0.50597996,0,0,0,5.1,0,0,0,0,3.397814747
BB,0.26077473,2.4839005,0,0.25103486,0,4.965,0,0,0,0.7474147,2.5183092
BB,0,2.9806814,0,0,0,5.04,0,0,0,1.7439677,9.827960946
BB,0,3.4866614,0,0,0,4.41,0.23593907,0,0,0.7274832,5.801724972
BB,0,2.9806805,0,0,0,4.95,0,0.23169488,0,1.2456912,2.038491117
BB,0,3.008279,0,0,0,4.95,0,0.7454513,0,0.7374499,1.726384243
BB,0,2.74149,0,0,0,4.945,0,0,0,1.9831411,10.58492216
BB,0,3.51426,0,0,0,1.94,0,0,0.23268639,0.7274832,2.754773307
BB,0,3.73505,0,0,0,3.7,0,0,0,0.99655294,8.351442433
BB,0,2.4839013,0,0,0,2.365,0,0,0,1.7539334,8.922908308
BB,0,2.732291,0.23014362,0,0,4.365,0,0,0,1.5047952,2.819886912
BB,0,1.9963202,0,0,0,4.975,0,0,0,2.770417,13.01615412
BB,0,3.5050592,0,0,0,2.97,0.25645602,0,0,0.49827647,5.354290957
BB,0,2.9898803,0,0,0,4.98,0.9745327,0.23169488,0,0,2.279825523
BB,0,3.7534497,0,0.2510357,0,4.455,0.23593907,0,0,0,5.267631687
BB,0,0.49678096,0,0,0,5.05,0,0,0,0,3.652874764
BB,0,0.48758113,0,0,0,5.05,0,0,0,0,3.364483372
BB,0,2.2355108,0,0,0,4.15,0,0.24176782,0.4957239,1.255657,0.637262241
BB,0,2.4747014,0,0,0,3.37,0,0,0.24280342,1.2456912,3.045829175
BB,0,1.7387298,0,0.51103544,0,4.205,0,0,0,1.9931059,10.76705041
BB,0,1.9871204,0,0,0,2.175,0,0.22162098,0,1.9731753,1.388266039
BB,0,2.2447107,0,0,0,4.97,0,0,0,2.501348,10.98471849
BB,0,2.4838996,0,0,0,4.375,0,0,0,1.9931059,10.15454372
BB,0,2.7230911,0,0,0,3.215,0,0.25184172,0,1.4948294,2.070353444
BB,0,3.7442498,0,0,0,3.185,0,1.0073669,0,0,1.391351672
BB,0.2507447,3.7442498,0,0,0,4.83,0,0.5137564,0,0,1.051048648
BB,0.23068562,2.7598906,0,0,0,3.63,0,0,0,1.4848636,3.708388929
BB,0.4914594,0.22079095,0,0.7351739,0,4.795,0.27697298,0,0,1.9931059,0.979402224
BB,0,2.4839013,0.2501566,0,0.49056986,4.81,0,0,0,0.99655294,3.772186281
BB,0,1.2511505,0,1.2641408,0,4.37,0,0,0,2.2422442,5.319845817
BB,0,1.5271387,0,0,0,3.395,0,0,0,2.9996235,12.45562437
BB,0,0.4967801,0,0,0,5,0,0,0,0,3.343204326
BB,0,0.9659615,0,0,0.7408631,5.01,0,0,0,2.7405207,13.08367848
BB,0,1.9779205,0,0,0,4.985,0,0,0,2.7305548,10.4678417
BB,0,0.4967801,0,0,0,4.975,0,0,0,3.7271087,11.17026845
BB,0,1.72953,0,0,0,4.995,0,0,0,2.9996245,10.72136
BB,0,2.00552,0,0,0,5.015,0,0,0,2.4913824,10.75613923
BB,0,1.5087391,0,0,0.22025761,5.195,0,0,0,2.7405207,13.16660706
BB,0,0.25758946,0,0,0,3.825,0,0,0,4.4844894,7.629740634
BB,0,0.24839048,0,0,0,3.775,0,0,0,4.2453146,7.544421514
BB,0,0.98436034,0,0,0,4.415,0,0,0,3.497901,12.30882041
BB,0,0.23919064,0,0,0.47054705,4.965,0,0,0,3.5078669,3.500046528
BB,0,1.2235501,0,0,0,3.775,0,0,0,2.9896588,11.65694143
BB,0,1.2235509,0,0,0.79092157,3.545,0,0,0,2.501348,13.16598789
BB,0,1.5087391,0,0,0,5.2,0,0,0,2.9996245,12.72341767
BB,0,0.47838128,0,0,0,4.985,0,0,0,0,3.345009184
BB,0,0.50597996,0,0,0,5,0,0,0,0,3.224729081
BB,0,1.7387298,0,0,0,2.765,0,0,0,2.4814167,8.366314652
BB,0,0.72677,0,1.4972451,0,2.315,0,0,0,2.25221,3.832020731
BB,0,1.4903412,0,0,0.5105936,4.97,0,0,0,2.760452,13.94727676
BB,0,1.9779214,0,0,0,2.975,0,0,0,2.7305548,9.690448333
BB,0,0.24838872,0,1.2641408,0,3.335,0,0,0,3.2288322,9.131203377
BB,0,0.23919064,0,0,0.7208393,5.235,0,0,0,3.248762,3.236554458
BB,0,0.23918976,0,0.50207055,0.7208403,3.85,0,0,0,2.760451,2.641653209
BB,0,0.23919064,0,1.255176,0,4.045,0,0,0,2.9796932,4.204087105
BB,0,1.2327508,0,0.78000176,0,3.195,0,0,0,2.4814177,2.883082203
BB,0,0.24839048,0,0,0,2.98,0,0,0,4.494455,8.072881104
BB,0,1.4903402,0,0,0.46053517,3.125,0,0,0,2.2223127,12.78696319
BB,0,0.2299908,0,0,0.47054705,1.685,0,0,0,3.757004,2.706878381
BB,0,2.2447107,0,0,0,3.975,0,0,0,2.501348,12.39238252
BB,0,0.50597906,0,0,0,4.955,0,0,0,0,3.898044026
BB,0,1.4995393,0,0,0.5005827,4.96,0,0,0,2.501348,12.38407812
BB,0,1.2327508,0,0,0.47054705,4.925,0,0,0,2.4913824,13.32278412
BB,0,1.2419506,0,0,0.48055893,4.82,0,0,0,2.7405207,14.13889782
BB,0,0.7359716,0,0,0,1.88,0,0,0,3.497901,8.95020822
BB,0,1.2419506,0,0,0.9911535,4.4,0,0,0,1.9931059,14.47267358
BB,0,1.9963185,0,0,0.9911554,2.385,0,0,0,1.2456912,11.62630801
BB,0,0.98436034,0,0,0,4.555,0,0,0,3.248762,12.3526236
BB,0,1.00276,0,0.22413847,0.96111786,1.53,0,0,0,1.2357264,8.663962168
BB,0,1.7571295,0,0,0.23026758,3.415,0,0,0,2.4714508,13.07246019
BB,0,1.7755293,0,0,0,3.2,0,0,0,2.760452,11.52263372
BB,0,1.7387298,0,0,0.46053708,4.95,0,0,0,2.2422442,16.05087901
BB,0,1.7387298,0,0,0,3.78,0,0,0,2.9896588,11.66371027
BB,0,0.23919064,0,0.49310395,0,4.03,0,0,0,3.507866,9.479991628
BB,0,2.244709,0,0,0,1.56,0,0,0,2.2123477,8.039050003
BB,0,0.5059808,0,0,0,4.985,0,0,0,0,3.397425875
BB,0,0.48758113,0,0,0,4.98,0,0,0,0,3.250662295
BB,0,2.9990792,0,0,0.23026758,4.16,0,0,0,1.5247258,9.773735236
BB,0,1.241949,0,0,0.4905708,4.865,0,0,0,2.4913824,12.35236647
BB,0,0.75436956,0,0,0,4.415,0,0,0,3.9961765,10.90118944
BB,0,1.00276,0,0.7531054,0.23026949,2.765,0.2667145,0,0,1.4848636,3.524226711
BB,0,1.9963211,0,0,0.9711297,4.81,0.25645602,0,0,0.98658717,9.345387171
BB,0,0.73596984,0,0.50207055,0,2.6,0.2154231,0,0,2.2621746,4.787700499
BB,0,2.226311,0,0,0,3.4,0,0,0,2.2621756,10.13426038
BB,0,1.517939,0,0,0.47054896,4.915,0.22568157,0,0,2.461486,9.888612988
BB,0,1.2419506,0,0,0.4905708,4.66,0,0,0,2.7504864,14.54814548
BB,0,1.72953,0,0,0,3.425,0,0,0,2.7504864,11.36972864
BB,0,1.2419506,0,0,0,1.995,0,0,0,3.2288313,10.21574758
BB,0,1.4811413,0,0.2600006,0.4905708,3.77,0,0,0,2.2422442,14.234871
BB,0,1.5363386,0,0,0.74086213,3.755,0.5026536,0,0,1.4748988,8.793620308
BB,0,0.47837952,0,0,0.25029135,2.83,0,0,0,3.7470393,10.53026297
BB,0,0.4967792,0,0,0,5.005,0,0,0,0,3.379959981
BB,0,0.48758113,0,0,0,4.96,0,0,0,0,3.035987696
BB,0,1.4995409,0,0,0.4905708,5.035,0,0,0,2.501348,11.54243671
BB,0,1.2419506,0,0,0.47054705,4.81,0,0,0,2.4814177,12.86655464
BB,0,1.5363386,0,0,0.47054896,4.99,0,0,0,2.2621756,13.0007668
BB,0,1.2419506,0,0,0.4905708,4.85,0,0,0,2.7405207,13.02393913
BB,0,1.2419506,0,0,0.4905708,4.595,0,0,0,2.4814167,12.98787035
BB,0,1.4995393,0,0,0.4905708,5.03,0.24619755,0,0,2.2322783,8.929775115
BB,0,2.2355099,0,0,0.74086213,4.98,0,0,0,1.4948294,14.25275652
BB,0,1.4995409,0,0.5110363,0,3.16,0,0,0,0.48831072,7.274715283
BB,0,0.7451697,0,0,0,2.795,0,0,0,3.7370737,10.38474
BB,0,0.98436207,0,0.25103486,0.74086213,2.115,0.24619853,0,0,1.5247258,5.410865979
BB,0,1.9871204,0,0.2510357,0,3.63,0,0,0,2.2322783,11.8543811
BB,0,1.7203319,0,0,0.75087404,5.065,0,0,0,2.0230021,15.30741149
BB,0,0.2299908,0,0,0,3.21,0,0,0,4.235349,7.002038091
BB,0,0.7451697,0,0,0,2.205,0,0,0,3.7370737,10.41844598
BB,0,0.49678096,0,0,0,4.995,0,0,0,0,3.20013946
BB,0,0.48758113,0,0,0,4.94,0,0,0,0,3.028478406
BB,0,1.4811413,0,0,0.48055893,4.8,0,0,0,1.9831401,12.06749521
BB,0,1.4811413,0,0,0.5005827,4.545,0,0,0,1.9931059,12.83530898
BB,0,1.7295309,0,0.24206996,0.7308503,1.755,0,0,0,0.7474147,8.56435855
BB,0,1.7571304,0,0,0.72083837,4.955,0.27697298,0,0,1.9731743,8.753400871
BB,0,1.4995401,0,0,1.4817243,3.19,0,0,0,1.4649332,13.48199569
BB,0,1.7479306,0,0,0.7108265,4.82,0,0,0,1.9931059,14.75824343
BB,0,1.4995393,0,0,0,4.215,0,0,0,2.7305548,11.19250585
BB,0,1.7571295,0,0.26896632,0.24027947,4.21,0,0,0,0.24913824,10.81823524
BB,0,1.7479297,0,0,0,4.36,0,0,0,2.4913824,10.82905687
BB,0,0.47837952,0,0,0,5.055,0,0,0,4.225385,11.65327664
BB,0,2.5023,0,0,0,4.635,0,0,0,2.2223136,11.21987341
BB,0,0.98436034,0,0,0.9711297,2.14,0.23594005,0,0,0.98658717,6.03022559
BB,0,1.9871212,0,0,0,4.65,0,0,0,2.4714508,11.58061917
BB,0,2.014719,0,0.2420691,0.7608859,5.015,0,0,0,1.7439677,16.86850214
BB,0,0.48757938,0,0,0,5.025,0,0,0,0,3.504815852
BB,0,0.49678096,0,0,0,4.97,0,0,0,0,3.034946923
BB,0,0.97516227,0,0,0,4.19,0,0,0,3.497901,9.879281779
BB,0,1.4903394,0,0,0.48056084,4.215,0,0,0,1.9931059,11.71521678
BB,0,1.50874,0,0,0.74086213,4.375,0,0,0,2.2322783,13.5414615
BB,0,2.2447097,0,0,0.22025569,1.78,0,0,0,1.9831401,7.689822982
BB,0,1.7479297,0,0,0.72083837,4.38,0,0,0,2.2422442,13.59568658
BB,0,1.2695484,0,0.2420691,0,3.63,0,0,0,3.2587285,11.63806138
BB,0,2.9898813,0,0,0,4.475,0,0,0,1.4848636,8.882527064
BB,0,0.24839048,0,0,0,3.285,0,0,0,4.4844875,6.595518603
BB,0,1.9963211,0,0,0.9811416,1.965,0,0,0,1.7539334,10.47416253
BB,0,0.9935602,0,0,0,0.98,0,0,0,3.2587276,5.349851384
BB,0,1.4903402,0,0,0.75087404,4.57,0,0,0,1.9731753,15.02222801
BB,0,1.7387298,0,0,0,3.605,0,0,0,2.7405207,10.54815665
BB,0,1.7571295,0,0,0,4.15,0,0,0,2.7405207,11.56451731
BB,0,1.7479297,0,0,0.48055893,3.745,0,0,0,2.25221,14.72333402
BB,0,0.48758113,0,0,0,5.015,0,0,0,0,3.066701154
BB,0,0.47837952,0,0,0,5.085,0,0,0,0,2.969751005
BB,0,1.7387298,0,0,0.7208403,4.41,0,0,0,2.0030706,4.665261165
BB,0,1.7571304,0,0,0.74086213,4.655,0,0,0,1.9831401,7.370351467
BB,0,1.7479297,0,0,0.48056084,4.355,0,0,0,1.9731753,7.933836532
BB,0,1.7571295,0,0.24206996,0.72083837,4.995,0,0,0,1.7539334,9.115586611
BB,0,2.2447107,0,0.26896632,1.2614686,1.4,0,0,0,0.23917247,4.577556119
BB,0,1.9871212,0,0,0.26030132,4.56,0,0,0,2.2422442,9.4166111
BB,0,0.75436956,0,0,0.4905708,4.555,0,0,0,3.0095904,10.29604728
BB,0,2.00552,0,0,0.72083837,2.775,0,0,0,0.48831072,9.141104477
BB,0,1.9871212,0,0,0.22025569,3.605,0,0,0,2.2322793,10.3697353
BB,0,1.2327508,0,0,0,2.975,0,0,0,3.2387972,9.609651377
BB,0,1.7571295,0,0.4931048,0,3,0,0,0,2.4913824,8.112914982
BB,0,1.9779214,0,0,1.2414448,2.79,0,0,0,1.255657,12.74364646
BB,0,1.7479306,0,0,0.7308503,4.815,0,0,0,1.7439677,15.21585571
BB,0,0.50597906,0,0,0,5.01,0,0,0,0,3.169738374
BB,0,0.48758113,0,0,0,4.97,0,0,0,0,2.855834823
BB,0,1.0211588,0,0.5110363,1.2614686,4.37,0,0,0,1.2357254,0
BB,0,1.7479306,0,0.2420691,0.9711297,4.83,0,0,0,1.7340019,13.56970534
BB,0,1.7295309,0,0,0.7108284,4.805,0,0,0,1.7439677,13.2924402
BB,0,1.7295309,0,0.23310421,1.0011654,4.985,0,0,0,1.5047942,14.30668701
BB,0,0.7359716,0,0,0,4.565,0,0,0,3.4879353,10.53701841
BB,0,1.7847291,0,0,0.74086213,4.625,0,0,0,1.7638992,14.71422175
BB,0,1.4903412,0,0,0.48055893,2.4,0,0,0,0.72748417,11.21088342
BB,0,1.4903402,0,0,2.4828906,4.175,0,0,0,0.21924192,14.74748333
BB,0,1.7295309,0,0,0.48055893,3.04,0,0,0,2.0030715,13.50666224
BB,0,2.7690895,0,0.5289669,0,4.225,0,0,0,0.73744893,9.853652867
BB,0,1.011959,0,0,0.75087404,3.98,0,0,0,1.9831401,15.37084335
BB,0,2.9990802,0,0,0,3.4,0,0,0,1.7539334,9.800122214
BB,0,0.98436034,0,0,0,4.005,0.23593907,0,0,3.2487628,7.783503526
BB,0,1.7387308,0,0.26000145,1.2714804,5.015,0,0,0,1.255656,17.97239462
BB,0,0.48758113,0,0,0,4.99,0,0,0,0,3.479045085
BB,0,0.48757938,0,0,0,4.995,0,0,0,0,3.139265726
BB,0,1.7479297,0,0.26896632,0,4.615,0,0,0,2.4913824,11.42252996
BB,0,0.48757938,0,0,0,4.98,0,0,0,3.9862118,11.10604551
BB,0,2.4838996,0,0.4931048,0.74086404,4.385,0,0,0,0.4783459,13.85786928
BB,0,0.24838872,0,0,0,4.575,0,0,0,4.23535,6.769879611
BB,0,1.2235519,0,0,0,2.4,0,0,0,3.4879353,10.35093061
BB,0,1.5363386,0,0,0,3.45,0,0,0,3.2387972,11.53450108
BB,0,0.9935602,0,0,0,3.075,0,0,0,3.7370737,12.468774
BB,0,0.75436956,0,0,0,3.355,0,0,0,3.7470393,12.13639297
BB,0,1.7387298,0,0.2600006,0.9711316,4.855,0,0,0,1.7240361,17.63328627
BB,0,1.7387298,0,0,0.7308503,4.8,0,0,0,1.7439677,17.06869442
BB,0,2.4747014,0,0,0.74086213,2.395,0,0,0,1.4848636,14.23799672
BB,0,0.9659606,0,0,0,2,0,0,0,3.507866,10.40985688
BB,0,2.732291,0,0,1.7420285,3.73,0,0,0,0,15.50104449
BB,0,0.2299908,0,0.5020697,0,3.79,0,0,0,3.9862118,10.39168549
BB,0,0.48757938,0,0,0,4.975,0,0,0,0,3.596632477
BB,0,0.50597906,0,0,0,4.99,0,0,0,0,3.298549262
BB,0,1.9963211,0,0,0.72083837,5.27,0,0,0,1.7539334,14.80017461
BB,0,1.4903402,0,0,0.74086213,3.565,0,0,0,2.2322783,14.18674107
BB,0,2.226312,0,0,0.7308503,4.995,0,0,0,1.4748979,15.31963468
BB,0,2.2447097,0,0,0.7308503,5,0,0,0,1.2357254,15.03969829
BB,0,1.2235509,0,0,0.72083837,4.57,0,0,0,2.7405207,15.68076201
BB,0,0.73596984,0,0,0.23026758,4.085,0,0,0,3.5078669,13.84943387
BB,0,1.7571304,0,0.2420691,0.74086213,3.56,0,0,0,0.22920766,13.66593823
BB,0,0.717571,0,0,0,2.35,0,0,0,3.7470384,10.88684876
BB,0,1.4811413,0,0,0.72083837,3.325,0,0,0,1.9931059,15.03778551
BB,0,2.4931011,0,0.25103486,0.9811416,4.98,0,0,0,1.0065187,18.26545291
BB,0,0.9935602,0,0,0,3.36,0,0,0,3.7370737,13.48852948
BB,0,0.98436034,0,0,0,2.17,0,0,0,3.2288322,11.07046971
BB,0,1.4719415,0,0,0,1.97,0,0,0,2.9996245,10.88461391
BB,0,0.9659615,0,0,0.24027947,2.07,0,0,0,2.501347,12.04471335
BB,0,0.46918145,0,0,0,5.035,0,0,0,0,3.85009051
BB,0,0.48757938,0,0,0,5.09,0,0,0,0,3.230588951
BB,0,1.9963202,0,0,1.7320166,4.645,0,0,0,0.76734525,14.95722782
BB,0,1.9779205,0,0,1.2414448,4.765,0,0,0,0.98658717,15.48438925
BB,0,1.9779205,0,0,1.4817252,4.555,0,0,0,0.73744893,16.59766968
BB,0,1.9871204,0,0,1.5317827,4.775,0,0,0,0.99655294,17.21340736
BB,0,1.9871204,0,0,2.7532048,4.38,0,0,0,0,17.2030074
BB,0,1.9871204,0,0,1.4717125,2.945,0,0,0,0.73744893,14.96775702
BB,0,2.9898803,0,0,0.23026758,2.97,0,0,0,1.514761,12.16013188
BB,0,2.217111,0,0,1.9923189,4.405,0,0,0,0,16.16797947
BB,0,1.9963202,0,0,2.4728787,1.765,0,0,0,0,10.99926413
BB,0,1.4995401,0,0.25103486,2.4828906,4.61,0,0,0,0,15.91746153
BB,0,1.2511497,0,0,0.22025761,3.38,0,0,0,2.9896588,14.15328595
BB,0,2.7414908,0,0,0.24027947,2.18,0,0,0,1.4948294,11.15473561
BB,0,0.4967792,0,0.2510357,0.26030323,2.22,0,0,0,1.2456912,10.62650534
BB,0,0.48758024,0,0.2510357,0.5406302,4.055,0,0,0,3.0095894,12.39884339
BB,0,0.50597906,0,0,0,5.305,0,0,0,0,3.424353678
BB,0,0.62557524,0,0,0,4.93,0,0,0,0,3.399084447
BB,0,2.0331187,0,0,1.4817243,4.635,0,0,0,0.97662145,16.50184933
BB,0,3.008279,0,0.2600006,0.46053708,3.795,0.25645602,0,0,0,9.677997859
BB,0,1.9779205,0,0,2.4828906,4.91,0,0,0,0.23917247,18.17547594
BB,0,2.2355099,0,0,1.7220048,4.705,0,0,0,0.50824225,17.10519346
BB,0,1.7571295,0,0,2.2225883,4.13,0,0,0,0.23917247,16.91217083
BB,0,2.014719,0,0,1.2314339,4.765,0,0,0,0.98658717,16.80315379
BB,0,2.2539105,0,0,1.972296,4.56,0,0,0,0.22920766,17.95086497
BB,0,2.7230918,0,0.51103544,1.0011654,3.96,0,0,0,0,13.45136143
BB,0,1.2511497,0,0.2420691,0.9711297,3.96,0.25645602,0,0,0.51820797,12.29977389
BB,0,1.7295309,0,0,2.2225873,2.59,0,0,0,0.7374499,14.40973971
